%Sample for training classifier
%some additional comments
@relation training_for_weka
@attribute b0 {yes no}
@attribute b1 {yes no}
@attribute b2 {yes no}
@attribute score { 0 1 2 3}
@data
yes,no,no,1
no,yes,yes,2
yes,yes,no,2
no,yes,no,0
no,no,yes,1
no,no,yes,1
no,yes,no,0
yes,yes,yes,3
yes,yes,no,2
yes,no,yes,3
no,no,no,0
no,no,yes,1
yes,yes,yes,3
yes,yes,yes,3
no,yes,no,0
yes,no,yes,3
yes,no,yes,3
no,yes,no,0
no,yes,no,0
yes,yes,yes,3
yes,no,yes,3
no,yes,yes,2
no,yes,no,0
yes,no,no,1
no,no,no,0
no,yes,yes,2
yes,yes,yes,3
no,yes,yes,2
yes,yes,no,2
yes,yes,yes,3
yes,no,no,1
yes,yes,no,2
yes,yes,no,2
yes,yes,no,2
no,no,yes,1
no,no,no,0
yes,no,no,1
no,yes,yes,2
no,no,no,0
yes,no,no,1
yes,no,no,1
no,yes,yes,2
yes,no,yes,3
no,no,yes,1
no,no,no,0
yes,no,yes,3
no,no,no,0
yes,yes,yes,3
yes,no,yes,3
no,no,yes,1
yes,yes,no,2
no,yes,yes,2
yes,no,yes,3
no,yes,yes,2
no,yes,no,0
yes,no,yes,3
yes,yes,yes,3
yes,no,yes,3
yes,no,no,1
yes,no,yes,3
no,no,no,0
no,no,yes,1
yes,yes,yes,3
no,no,yes,1
yes,yes,yes,3
no,no,no,0
yes,no,yes,3
no,no,no,0
no,yes,yes,2
no,yes,yes,2
yes,yes,yes,3
yes,yes,no,2
yes,yes,yes,3
no,no,no,0
yes,yes,no,2
yes,yes,yes,3
yes,yes,no,2
no,no,no,0
no,no,yes,1
no,yes,no,0
yes,no,no,1
yes,yes,yes,3
no,no,no,0
no,no,yes,1
no,yes,yes,2
yes,yes,yes,3
no,no,yes,1
no,yes,yes,2
yes,yes,yes,3
yes,no,yes,3
no,no,yes,1
yes,yes,no,2
yes,no,no,1
yes,yes,yes,3
yes,no,yes,3
no,no,no,0
no,no,no,0
yes,yes,no,2
no,no,yes,1
no,yes,yes,2
yes,no,no,1
yes,no,no,1
no,no,no,0
yes,yes,yes,3
no,no,yes,1
no,yes,yes,2
yes,yes,no,2
no,yes,yes,2
no,yes,yes,2
no,yes,no,0
yes,yes,no,2
yes,yes,yes,3
yes,yes,no,2
no,yes,no,0
no,no,yes,1
no,yes,yes,2
yes,yes,no,2
yes,no,yes,3
yes,yes,yes,3
no,no,no,0
yes,no,no,1
no,no,yes,1
no,no,no,0
yes,yes,yes,3
yes,yes,no,2
yes,yes,no,2
no,no,yes,1
no,yes,yes,2
no,yes,no,0
yes,yes,yes,3
no,no,no,0
no,yes,no,0
no,yes,no,0
no,no,no,0
yes,no,yes,3
no,no,no,0
no,yes,no,0
no,yes,yes,2
yes,yes,no,2
no,yes,yes,2
no,no,no,0
yes,yes,yes,3
no,yes,yes,2
no,yes,yes,2
no,no,yes,1
yes,yes,yes,3
yes,yes,no,2
yes,yes,yes,3
yes,yes,yes,3
yes,yes,no,2
yes,no,yes,3
yes,no,yes,3
no,yes,yes,2
no,yes,no,0
yes,yes,no,2
yes,yes,yes,3
yes,yes,yes,3
no,yes,yes,2
yes,no,no,1
no,yes,no,0
no,yes,yes,2
no,yes,no,0
no,no,yes,1
yes,no,yes,3
yes,yes,no,2
no,yes,no,0
yes,no,yes,3
yes,no,no,1
yes,yes,no,2
yes,no,no,1
no,yes,no,0
no,yes,no,0
yes,yes,no,2
yes,yes,yes,3
no,no,yes,1
no,yes,yes,2
yes,no,no,1
yes,no,yes,3
no,yes,no,0
yes,no,no,1
no,no,no,0
no,yes,no,0
no,yes,yes,2
no,no,yes,1
no,no,no,0
yes,yes,no,2
yes,no,no,1
yes,no,no,1
no,no,no,0
yes,no,no,1
yes,yes,no,2
yes,yes,yes,3
yes,yes,yes,3
no,no,yes,1
no,yes,no,0
no,no,yes,1
yes,yes,yes,3
no,yes,yes,2
no,yes,no,0
no,yes,yes,2
no,no,no,0
yes,yes,no,2
yes,no,no,1
yes,no,yes,3
no,no,yes,1
no,no,yes,1
yes,yes,yes,3
yes,yes,yes,3
no,no,no,0
no,no,no,0
no,yes,no,0
no,no,yes,1
no,no,yes,1
no,no,no,0
no,yes,no,0
yes,no,yes,3
no,yes,yes,2
no,yes,no,0
yes,no,yes,3
yes,yes,yes,3
yes,no,yes,3
no,no,yes,1
no,yes,no,0
no,yes,no,0
yes,yes,yes,3
no,no,no,0
yes,yes,no,2
no,no,yes,1
no,no,no,0
yes,yes,no,2
yes,yes,no,2
yes,no,yes,3
yes,no,no,1
